title,text
Sate Kambing & Ayam Pak Jogo,"Tolong dijaga kebersihannya! Setiap minggu kluarga saya makan disitu, dan baru kali ini take away sate baru ngeh satenya banyak rambut. Rambut pendek2 hitam dan putih tidak hanya 1 helai dan nempel disatenya😭😭😭 Sudah trlanjur dimakan😭😭"
Sate Kambing & Ayam Pak Jogo,"Tempat makan sate yang cukup oke untuk area sekitar JEC. Harga masuk akal untuk porsi yang lumayan banyak. Rasa cukup oke, untuk sate klathak sudah diberi irisan bawang merah."
Sate Kambing & Ayam Pak Jogo,"Parkiran luas. Harga standar jogja. Sate kambing alot, dagingnya dikit. Tongseng kambing enak Tongseng ayam standar. Es jeruk kurang terasa."
Sate Kambing & Ayam Pak Jogo,"Sate kambing, nasi, es teh 43 rb"
Sate Kambing & Ayam Pak Jogo,Satenya seh menurut saya lumayan ..sudah sering kesini harga wajar sekelas sate kambing pada umumnya
Sate Kambing & Ayam Pak Jogo,"Sate kambing muda recommended di yogya. Rasa daging kambingnya sama sekali tidak prengus, teman saya yang sebenernya tidak suka sate kambing saja mau memakannya malah dikiranya sate kelinci 😂😂 Rasa kuah satenya relatif pedas manis."
Sate Kambing & Ayam Pak Jogo,Sate kambing nya empuk Tongseng nya maknyus Recommended untuk makan siang
Sate Kambing & Ayam Pak Jogo,Satenya enak tapi tempatnya terlalu panas dan asapnya penuhh didalem
Sate Kambing & Ayam Pak Jogo,"Satenya masih lumayan alot, dulu kayaknya empuk sekarang kok beda. Pelayanan cepat dan ramah"
Sate Kambing & Ayam Pak Jogo,Sate terenak yang pernah di datangi yogya empuk dan rasanya nampolll
Sate Kambing & Ayam Pak Jogo,Pesan tongseng sate kambing dagingnya empuk. Tidak terlalu manis Jogja. Waktu beli tidak bau prengus. Pesan dibungkus cepat.
Sate Kambing & Ayam Pak Jogo,"Recommended. Sate kambing 33 ribu tapi isinya besar, puas."
Sate Kambing & Ayam Pak Jogo,"Mantap, rasa asin, kecap, dan manis di tongseng tidak terlalu banyak. Sesuai selera saya"
Sate Kambing & Ayam Pak Jogo,Terwajib kalo ke jogja..mantep tongseng nya cuma daging nya kurang banyak aja heheh
Sate Kambing & Ayam Pak Jogo,Salah satu sate legend di Jogja Dekat JEC.. Enakk Recomended
Sate Kambing & Ayam Pak Jogo,"Pertama nyoba kesini Krn bingung mau makan apa. Akhirnya kesini, masyaAllah ternyata enak banged, satenya empuk, tongsengnya enak cenderung yg kecap sedikit, dan tengkleng nya josss banged empuk dan dagingnya terasa gurih😍"
Sate Kambing & Ayam Pak Jogo,"Rasa dan porsi mantap, bagi yg tdk bisa makan sate kambing disini tersedia juga sate ayam dan tongseng ayam yang tidak kalah nikmat"
Sate Kambing & Ayam Pak Jogo,Enak. Daging nya empuk baik sate maupun tongseng atau gule nya
Sate Kambing & Ayam Pak Jogo,"Istimewa..... Satene empuk, kcapya pas dan sedap... Porsi pas bikin kenyang, dansaya suka krn lemanya pasea gak keanggotaan, satu yg istimiwir juga yaitu thengklengnya... Hhmm... Betul betul luwezat.. Asaya bukan penggemar thengkleng krn rasanya ya gitu gitu aja gak aa Istimewa nya, ya semacam gulai... Atau kata bosskuh cuma gulai balungan.. 🤣 🤣 🤣... Tapi disate pak jogo... Wah istimiwir... Thengklengnya.... Wenak. , empuk, gurih.... Wah luwezat pokoke.... Harus coba kalau kesini ya .... Wajib.... Buat cemlan juga pas, jadi makan 🍴 dg sate Atau tongseng nah thengklengnya buat cemilan.. Wua.... WWAARRBBIIYYAAZZAAHH wenaknya.... Dah buruan kesni sate p jogo ya.. .. Ua lupa. Esehya.. Suweger suwedep manis mant..."
Sate Kambing & Ayam Pak Jogo,Selalu makan disini kalo ke Yogya
Sate Kambing & Ayam Pak Jogo,"Sate Kambing pak Jogo. Langganan dr jaman masih sekolah SD. Karena tempatnya dekat kantor Bapak . Selalu rindu makanan ini pas balik kampung, selain karena enak juga nostalgia masa masa sekolah diajak Bapak makan disini. Dulu jaman jajan disini bapak tanpa kasih tahu mau pesen apa pegawainya langsung tahu dan hafal menu yg selalu bapak pesan 🥹🥹. Rindu Almarhum Bapak.😭 Pegawainya cekatan, ramah dan tempatnya bersih, makanannya juga enak gak ada yg berubah dari segi rasa dan suasananya. Cuma lebih luas aja tempatnya. Sukses selalu sate kambing pak Jogo. Terenak dan banyak kenangan disini."
Sate Kambing & Ayam Pak Jogo,Klo dagingnya pas saya makan keras. Tp mau coba pas gak peak season
Sate Kambing & Ayam Pak Jogo,kurang nyenengke . kasih masukan malah di jawab dari dulu sudah seperti ini . di tanya kuas nya halal? beli dari toko bangunanfari dulu
Sate Kambing & Ayam Pak Jogo,"Sate kambing, sate ayam, tongseng rekomended semuaa... toilet ada, tempat mushola seadanya.. parkir luaaass..."
Sate Kambing & Ayam Pak Jogo,Rekomended... Tengkleng nya juara no effort untuk kunyah daging nya. Next ke jogja akan mampir lagi
Sate Kambing & Ayam Pak Jogo,Sudah berlangganan dari sekitar 15 tahun yang lalu. Setiap singgah selalu pesan sate kambing yang sampai sekarang masih tetap empuk dengan takaran bumbu kecap yg pas. Nasi agak terlalu sedikit. Pertahankan cita rasa & keempukan sate kambingnya 👍
Sate Kambing & Ayam Pak Jogo,"tadi saat mau minta tolong sama staffnya untuk foto kami berombongan setelah buka bersama, staffnya nolak dengan cara yang tidak sopan dan kasar. kasirnya juga kurang beretika. tolong para staffnya di evaluasi agar tidak ada lagi pelanggan yang kecewa dengan pelayanan nya seperti kami"
Sate Kambing & Ayam Pak Jogo,"Mines pelayanan, minta tolong foto gak mau"
Sate Kambing & Ayam Pak Jogo,Pelayanan yang diberikan kurang dan tidak sesuai standard tempat makan biasanya
Sate Kambing & Ayam Pak Jogo,"Sate ayamnya enak , porsinya banyak , pelayanannya cepet"
